GroupId,GroupName,GPSName,Year,Lat,Long
35,1994 Cloetesville,Cloetesville,1994,-33.9,18.85
38,1995 Kwazakhele,Kwazakhele,1995,-33.88,25.58
39,1995 Umlazi,Umlazi AA,1995,-29.97,30.86
37,1996 Claremont,Claremont,1996,-26.18,27.95
36,1996 Manyatseng,Manyatseng,1996,-29.16,27.46
40,1996 Sweetwaters,Sweetwaters,1996,-29.6,30.29
46,1997 Claremont,Claremont,1997,-26.18,27.95
42,1997 Helderberg,Helderburg,1997,-34.11,18.84
60,1997 Makipsvlei,Makiepsvlei,1997,-24.92,29.04
48,1997 Manyatseng,Manyatseng,1997,-29.16,27.46
43,1997 Sweetwaters,Sweetwaters,1997,-29.6,30.29
62,1997 Tambo,Tambo,1997,-32.13,26.81
44,1997 Umgaga,Umgaga,1997,-29.95,30.84
45,1997 Umlazi,Umlazi AA,1997,-29.97,30.86
47,1997 Walmer,Walmer Dunes,1997,-33.99,25.59
53,1998 Claremont,Claremont,1998,-26.18,27.95
49,1998 Helderberg,Helderburg,1998,-34.11,18.84
57,1998 Ivory,Ivory,1998,-25.994387,28.197012
55,1998 Lotus,Lotus Park,1998,-29.99,30.91
58,1998 Mafefe,Mafefe,1998,-24.16,30.1
59,1998 Makipsvlei,Makiepsvlei,1998,-24.92,29.04
56,1998 Orient,Orient Hills,1998,-30,30.91
54,1998 Tafelsig,Tafelsig,1998,-34.05,18.63
61,1998 Tambo,Tambo,1998,-32.13,26.81
51,1998 Umgaga,Umgaga,1998,-29.95,30.84
50,1998 Umlazi,Umlazi AA,1998,-29.97,30.86
52,1998 Walmer,Walmer Dunes,1998,-33.99,25.59
81,1999 Antioch,Antioch,1999,-30.09,29.81
82,1999 Garagapola,Garagapola,1999,-24.56,30.16
83,1999 Gasese,Gasese,1999,-27.11,23.05
72,1999 Helderberg,Helderburg,1999,-34.11,18.84
80,1999 Ivory,Ivory,1999,-25.994387,28.197012
69,1999 Lotus,Lotus Park,1999,-29.99,30.91
84,1999 Mafefe,Mafefe,1999,-24.16,30.1
79,1999 Makipsvlei,Makiepsvlei,1999,-24.92,29.04
70,1999 Orient,Orient Hills,1999,-30,30.91
78,1999 Qumbu,Qumbu,1999,-31.19,28.87
73,1999 Rontree,Rontree Estate,1999,-33.96,18.38
67,1999 Sanctuary,Sanctuary Gardens,1999,-26.1,27.91
71,1999 Summerstrand,Summerstrand,1999,-34,25.65
66,1999 Tafelsig,Tafelsig,1999,-34.05,18.63
77,1999 Tambo,Tambo,1999,-32.13,26.81
68,1999 Umlazi,Umlazi AA,1999,-29.97,30.86
25,2000 Antioch,Antioch,2000,-30.09,29.81
21,2000 Garagapola,Garagapola,2000,-24.56,30.16
23,2000 Gasese,Gasese,2000,-27.11,23.05
10,2000 Helderberg,Helderburg,2000,-34.11,18.84
27,2000 Lotus,Lotus Park,2000,-29.99,30.91
28,2000 Mafefe,Mafefe,2000,-24.16,30.1
20,2000 Makipsvlei,Makiepsvlei,2000,-24.92,29.04
12,2000 Orient,Orient Hills,2000,-30,30.91
24,2000 Qumbu,Qumbu,2000,-31.19,28.87
15,2000 Rontree,Rontree Estate,2000,-33.96,18.38
16,2000 Sanctuary,Sanctuary Gardens,2000,-26.1,27.91
17,2000 Summerstrand,Summerstrand,2000,-34,25.65
18,2000 Tafelsig,Tafelsig,2000,-34.05,18.63
22,2000 Tambo,Tambo,2000,-32.13,26.81
13,2000 Woodhaven,Woodhaven,2000,-29.91,30.94
100,2001 Antioch,Antioch,2001,-30.09,29.81
98,2001 Garagapola,Garagapola,2001,-24.56,30.16
101,2001 Gasese,Gasese,2001,-27.11,23.05
107,2001 Greenturf,Greenturf,2001,-33.99,18.53
108,2001 Kabega,Kabega,2001,-33.95,25.49
102,2001 Mafefe,Mafefe,2001,-24.16,30.1
104,2001 Mfazazane,Mfazazane,2001,-30.55,30.55
109,2001 Moreletta,Moreletta Park,2001,-25.82,28.29
103,2001 Tambo,Tambo,2001,-32.13,26.81
110,2001 Welgemoed,Welgemoed,2001,-33.87,18.6
106,2001 Westridge,Westridge,2001,-34.04,18.59
111,2001 Woodhaven,Woodhaven,2001,-29.91,30.94
113,2002 Antioch,Antioch,2002,-30.09,29.81
114,2002 Garagapola,Garagapola,2002,-24.56,30.16
115,2002 Gasese,Gasese,2002,-27.11,23.05
120,2002 Greenturf,Greenturf,2002,-33.99,18.53
1000005,2002 Ikgomotseng,Ikgomotseng,2002,-28.73,26.1
121,2002 Kabega,Kabega,2002,-33.95,25.49
2000003,2002 Maconqo,Maconqo,2002,-29.57,30.55
116,2002 Mafefe,Mafefe,2002,-24.16,30.1
2000002,2002 Matshana,Matshana,2002,-28.75,31.85
117,2002 Mfazazane,Mfazazane,2002,-30.55,30.55
122,2002 Moreletta,Moreletta Park,2002,-25.82,28.29
118,2002 Tambo,Tambo,2002,-32.13,26.81
123,2002 Welgemoed,Welgemoed,2002,-33.87,18.6
124,2002 Westridge,Westridge,2002,-34.04,18.59
125,2002 Woodhaven,Woodhaven,2002,-29.91,30.94
1000007,2003 Antioch,Antioch,2003,-30.09,29.81
1000008,2003 Garagapola,Garagapola,2003,-24.56,30.16
1000009,2003 Gasese,Gasese,2003,-27.11,23.05
1000016,2003 Greenturf,Greenturf,2003,-33.99,18.53
1000010,2003 Ikgomotseng,Ikgomotseng,2003,-28.73,26.1
1000017,2003 Kabega,Kabega,2003,-33.95,25.49
1000011,2003 Maconqo,Maconqo,2003,-29.57,30.55
1000012,2003 Matshana,Matshana,2003,-28.75,31.85
1000013,2003 Mfazazane,Mfazazane,2003,-30.55,30.55
1000018,2003 Moreletta,Moreletta Park,2003,-25.82,28.29
1000014,2003 Tambo,Tambo,2003,-32.13,26.81
1000019,2003 Westridge,Westridge,2003,-34.04,18.59
1000028,2004 Dinokana,Dinokana,2004,-25.44,25.86
1000029,2004 Driekoppies,Driekoppies,2004,-25.7,31.55
1000023,2004 Greenturf,Greenturf,2004,-33.99,18.53
1000025,2004 Kabega,Kabega,2004,-33.95,25.49
1000027,2004 Khayalitsha,Khayalitsha,2004,-34.04,18.69
1000022,2004 Matshana,Matshana,2004,-28.75,31.85
1000026,2004 Vlaklaagte,Vlaklaagte,2004,-25.33,28.87
1000024,2004 Westridge,Westridge,2004,-34.04,18.59
1000031,2005 Dinokana,Dinokana,2005,-25.44,25.86
1000036,2005 Driekoppies,Driekoppies,2005,-25.7,31.55
1000038,2005 Greenturf,Greenturf,2005,-33.99,18.53
1000039,2005 Kabega,Kabega,2005,-33.95,25.49
1000033,2005 Khayalitsha,Khayalitsha,2005,-34.04,18.69
1000041,2005 La Lucia,La Lucia,2005,-29.748282,31.066504
1000034,2005 Matshana,Matshana,2005,-28.75,31.85
1000032,2005 Peacetown,Peacetown,2005,-28.44,29.74
1000035,2005 Vlaklaagte,Vlaklaagte,2005,-25.33,28.87
1000040,2005 Westridge,Westridge,2005,-34.04,18.59
1000042,2005 Woodhill,Woodhill,2005,-25.81463,28.315609
1000054,2006 Dinokana,Dinokana,2006,-25.44,25.86
1000055,2006 Driekoppies,Driekoppies,2006,-25.7,31.55
1000049,2006 Greenturf,Greenturf,2006,-33.99,18.53
1000050,2006 Kabega,Kabega,2006,-33.95,25.49
1000056,2006 Khayalitsha,Khayalitsha,2006,-34.04,18.69
1000051,2006 La Lucia,La Lucia,2006,-29.748282,31.066504
1000057,2006 Matshana,Matshana,2006,-28.75,31.85
1000059,2006 Peacetown,Peacetown,2006,-28.44,29.74
1000060,2006 Vlaklaagte,Vlaklaagte,2006,-25.33,28.87
1000052,2006 Westridge,Westridge,2006,-34.04,18.59
1000053,2006 Woodhill,Woodhill,2006,-25.81463,28.315609
1000075,2008 Dinokana,Dinokana,2008,-25.44,25.86
1000076,2008 Khayalitsha,Khayalitsha,2008,-34.04,18.69
1000077,2008 Matshana,Matshana,2008,-28.75,31.85
1000078,2008 Peacetown,Peacetown,2008,-28.44,29.74
1000079,2008 Vlaklaagte,Vlaklaagte,2008,-25.33,28.87
1000071,2008 Woodhill,Woodhill,2008,-25.81463,28.315609
1000082,2009 Khayalitsha,Khayalitsha,2009,-34.04,18.69
1000083,2009 Matshana,Matshana,2009,-28.75,31.85
1000084,2009 Peacetown,Peacetown,2009,-28.44,29.74
1000085,2009 Vlaklaagte,Vlaklaagte,2009,-25.33,28.87
1000087,2009 Woodhill,Woodhill,2009,-25.81463,28.315609
1000102,2010 Ga-Nkoane,Ga-Nkoane,2010,-24.416673,29.783335
1000095,2010 Matshana,Matshana,2010,-28.75,31.85
1000098,2010 Vlaklaagte,Vlaklaagte,2010,-25.33,28.87
1000099,2010 Wattville,Wattville,2010,-26.221098,28.30327
1000104,2011 Ga-Luka,Ga-Luka,2011,-25.507355,27.190905
1000105,2011 Ga-Nkoane,Ga-Nkoane,2011,-24.416673,29.783335
1000106,2011 Hankey,Hankey,2011,-33.824081,24.871931
1000107,2011 Matshana,Matshana,2011,-28.75,31.85
1000108,2011 Vlaklaagte,Vlaklaagte,2011,-25.33,28.87
1000109,2011 Wattville,Wattville,2011,-26.221098,28.30327
1000119,2012 Butterworth,Butterworth,2012,-32.31762239,28.20553465
1000120,2012 Fourways Gdns,Fourways Gdns,2012,-26.0058,28.0019
1000111,2012 Ga-Luka,Ga-Luka,2012,-25.507355,27.190905
1000112,2012 Ga-Nkoane,Ga-Nkoane,2012,-24.416673,29.783335
1000113,2012 Hankey,Hankey,2012,-33.824081,24.871931
1000114,2012 Matshana,Matshana,2012,-28.75,31.85
1000117,2012 Matsulu,Matsulu,2012,-25.51232515,31.34582484
1000118,2012 Seloshesa,Seloshesa,2012,-29.19967496,26.80923109
1000115,2012 Vlaklaagte,Vlaklaagte,2012,-25.33,28.87
1000116,2012 Wattville,Wattville,2012,-26.221098,28.30327
1000133,2013 Bophelong,Bophelong,2013,-26.69245893,27.79967542
1000130,2013 Butterworth,Butterworth,2013,-32.31762239,28.20553465
1000132,2013 Dipelaneng,Dipelaneng,2013,-29.51060165,27.14995751
1000131,2013 Fourways Gdns,Fourways Gdns,2013,-26.0058,28.0019
1000122,2013 Ga-Luka,Ga-Luka,2013,-25.507355,27.190905
1000123,2013 Ga-Nkoane,Ga-Nkoane,2013,-24.416673,29.783335
1000124,2013 Hankey,Hankey,2013,-33.824081,24.871931
1000125,2013 Matshana,Matshana,2013,-28.75,31.85
1000128,2013 Matsulu,Matsulu,2013,-25.51232515,31.34582484
1000134,2013 Phomolong,Phomolong,2013,-28.01601881,27.08179789
1000129,2013 Seloshesa,Seloshesa,2013,-29.19967496,26.80923109
1000126,2013 Vlaklaagte,Vlaklaagte,2013,-25.33,28.87
1000127,2013 Wattville,Wattville,2013,-26.221098,28.30327
1000147,2014 Bophelong,Bophelong,2014,-26.69245893,27.79967542
1000144,2014 Butterworth,Butterworth,2014,-32.31762239,28.20553465
1000146,2014 Dipelaneng,Dipelaneng,2014,-29.51060165,27.14995751
1000145,2014 Fourways Gdns,Fourways Gdns,2014,-26.0058,28.0019
1000136,2014 Ga-Luka,Ga-Luka,2014,-25.507355,27.190905
1000137,2014 Ga-Nkoane,Ga-Nkoane,2014,-24.416673,29.783335
1000138,2014 Hankey,Hankey,2014,-33.824081,24.871931
1000139,2014 Matshana,Matshana,2014,-28.75,31.85
1000142,2014 Matsulu,Matsulu,2014,-25.51232515,31.34582484
1000148,2014 Phomolong,Phomolong,2014,-28.01601881,27.08179789
1000143,2014 Seloshesa,Seloshesa,2014,-29.19967496,26.80923109
1000140,2014 Vlaklaagte,Vlaklaagte,2014,-25.33,28.87
1000141,2014 Wattville,Wattville,2014,-26.221098,28.30327
